HGDPIndividualNumber	PopulationCode	PopulationName	SamplingLocation	GeographicRegionOfPopulation	Sex	InHGDP-CEPHpanel[CannEtAl2002]?	AnalyzedInRosenbergEtAl2002?	PopulationLabelBelievedToBeCorrect?	HasNoDuplicatesInPanel?	AnalyzedInRosenbergEtAl2005[datasetH1048]?	HasNoKnown1stDegreeRelativesInPanel?	HasNoKnown1stOr2ndDegreeRelativesInPanel?	HasAParentOrOffspringInPanel?	IncludedInDataset971[No1stDegreeRelatives]?	IncludedInDataset952[No1stOr2ndDegreeRelatives]?	DuplicationConjugate[OnlyDiffersFromSampleNumberIfSampleIsDuplicated]	AlternatePopulationCode[OnlyDiffersFromPrimaryPopulationCodeForBantuSouthAfrica]	AlternatePopulationName[OnlyDiffersFromPrimaryPopulationNameForBantuSouthAfrica]	OrangeQInRosenbergEtAl2002Fig1K=5	BlueQInRosenbergEtAl2002Fig1K=5	PinkQInRosenbergEtAl2002Fig1K=5	GreenQInRosenbergEtAl2002Fig1K=5	PurpleQInRosenbergEtAl2002Fig1K=5
1100	616	Tujia	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1100	616	Tujia	0.002	0.006	0.984	0.002	0.006
1101	616	Tujia	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1101	616	Tujia	0.001	0.003	0.981	0.009	0.006
1102	616	Tujia	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1102	616	Tujia	0.001	0.039	0.954	0.002	0.004
1103	616	Tujia	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1103	616	Tujia	0.002	0.004	0.985	0.001	0.009
1104	616	Tujia	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1104	616	Tujia	0.001	0.001	0.996	0.002	0.001
1147	27	Italian	Italy-Bergamo	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1147	27	Italian	0.001	0.995	0.002	0.001	0.001
1149	27	Italian	Italy-Bergamo	EUROPE	m	1	1	1	0	1	1	1	0	1	1	1154	27	Italian	0.001	0.993	0.002	0.002	0.002
1151	27	Italian	Italy-Bergamo	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1151	27	Italian	0.004	0.983	0.007	0.003	0.003
1152	27	Italian	Italy-Bergamo	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1152	27	Italian	0.001	0.996	0.001	0.001	0.001
1153	27	Italian	Italy-Bergamo	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1153	27	Italian	0.001	0.995	0.001	0.002	0.001
1154	27	Italian	Italy-Bergamo	EUROPE	m	1	1	1	0	0	NA	NA	NA	0	0	1149	27	Italian	0.001	0.991	0.003	0.002	0.002
1155	27	Italian	Italy-Bergamo	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1155	27	Italian	0.015	0.955	0.019	0.009	0.001
1156	27	Italian	Italy-Bergamo	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1156	27	Italian	0.001	0.992	0.002	0.001	0.005
1157	27	Italian	Italy-Bergamo	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1157	27	Italian	0.026	0.933	0.016	0.017	0.008
1161	29	Tuscan	Italy	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1161	29	Tuscan	0.002	0.992	0.002	0.003	0.002
1162	29	Tuscan	Italy	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1162	29	Tuscan	0.004	0.989	0.002	0.001	0.003
1163	29	Tuscan	Italy	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1163	29	Tuscan	0.001	0.995	0.001	0.001	0.001
1164	29	Tuscan	Italy	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1164	29	Tuscan	0.002	0.993	0.002	0.001	0.002
1166	29	Tuscan	Italy	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1166	29	Tuscan	0.001	0.993	0.001	0.001	0.004
1167	29	Tuscan	Italy	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1167	29	Tuscan	0.001	0.997	0.001	0.001	0.001
1168	29	Tuscan	Italy	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1168	29	Tuscan	0.001	0.995	0.001	0.002	0
1169	29	Tuscan	Italy	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1169	29	Tuscan	0.002	0.982	0.006	0.009	0.002
1171	27	Italian	Italy-Bergamo	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1171	27	Italian	0.001	0.994	0.002	0.003	0.001
