SID,PID,Source,Permission
301,570,PASCHOU,Public
306,570,PASCHOU,Public
307,570,PASCHOU,Public
323,534,PASCHOU,Public
324,534,PASCHOU,Public
325,534,PASCHOU,Public
328,511,PASCHOU,Public
329,511,PASCHOU,Public
330,511,PASCHOU,Public
337,534,PASCHOU,Public
338,534,PASCHOU,Public
345,534,PASCHOU,Public
346,534,PASCHOU,Public
349,511,PASCHOU,Public
350,511,PASCHOU,Public
353,511,PASCHOU,Public
354,511,PASCHOU,Public
355,534,PASCHOU,Public
356,534,PASCHOU,Public
357,534,PASCHOU,Public
358,534,PASCHOU,Public
359,570,PASCHOU,Public
360,570,PASCHOU,Public
362,534,PASCHOU,Public
363,534,PASCHOU,Public
369,534,PASCHOU,Public
370,534,PASCHOU,Public
371,534,PASCHOU,Public
372,534,PASCHOU,Public
373,534,PASCHOU,Public
374,534,PASCHOU,Public
375,534,PASCHOU,Public
376,534,PASCHOU,Public
377,534,PASCHOU,Public
378,534,PASCHOU,Public
380,570,PASCHOU,Public
382,570,PASCHOU,Public
388,11,PASCHOU,Public
389,11,PASCHOU,Public
390,11,PASCHOU,Public
391,11,PASCHOU,Public
392,11,PASCHOU,Public
393,11,PASCHOU,Public
394,11,PASCHOU,Public
395,11,PASCHOU,Public
396,11,PASCHOU,Public
397,11,PASCHOU,Public
398,11,PASCHOU,Public
399,11,PASCHOU,Public
400,11,PASCHOU,Public
401,11,PASCHOU,Public
402,11,PASCHOU,Public
403,11,PASCHOU,Public
404,11,PASCHOU,Public
405,11,PASCHOU,Public
406,11,PASCHOU,Public
407,11,PASCHOU,Public
408,11,PASCHOU,Public
409,11,PASCHOU,Public
410,11,PASCHOU,Public
411,11,PASCHOU,Public
412,11,PASCHOU,Public
413,11,PASCHOU,Public
414,597,PASCHOU,Public
415,597,PASCHOU,Public
416,11,PASCHOU,Public
417,113,PASCHOU,Public
418,113,PASCHOU,Public
419,113,PASCHOU,Public
420,113,PASCHOU,Public
421,113,PASCHOU,Public
422,113,PASCHOU,Public
423,113,PASCHOU,Public
424,113,PASCHOU,Public
425,113,PASCHOU,Public
426,113,PASCHOU,Public
427,113,PASCHOU,Public
428,113,PASCHOU,Public
429,597,PASCHOU,Public
430,597,PASCHOU,Public
431,597,PASCHOU,Public
432,597,PASCHOU,Public
433,597,PASCHOU,Public
434,597,PASCHOU,Public
435,597,PASCHOU,Public
436,597,PASCHOU,Public
437,597,PASCHOU,Public
438,11,PASCHOU,Public
439,113,PASCHOU,Public
440,11,PASCHOU,Public
441,113,PASCHOU,Public
442,597,PASCHOU,Public
443,597,PASCHOU,Public
444,113,PASCHOU,Public
445,113,PASCHOU,Public
446,113,PASCHOU,Public
447,113,PASCHOU,Public
448,113,PASCHOU,Public
449,597,PASCHOU,Public
450,11,PASCHOU,Public
451,11,PASCHOU,Public
452,113,PASCHOU,Public
453,113,PASCHOU,Public
454,113,PASCHOU,Public
455,597,PASCHOU,Public
456,597,PASCHOU,Public
457,11,PASCHOU,Public
458,11,PASCHOU,Public
459,113,PASCHOU,Public
460,597,PASCHOU,Public
461,597,PASCHOU,Public
462,113,PASCHOU,Public
463,597,PASCHOU,Public
464,113,PASCHOU,Public
465,113,PASCHOU,Public
466,11,PASCHOU,Public
467,113,PASCHOU,Public
468,597,PASCHOU,Public
469,113,PASCHOU,Public
470,113,PASCHOU,Public
471,113,PASCHOU,Public
472,113,PASCHOU,Public
473,597,PASCHOU,Public
474,113,PASCHOU,Public
475,597,PASCHOU,Public
476,113,PASCHOU,Public
477,597,PASCHOU,Public
478,113,PASCHOU,Public
479,113,PASCHOU,Public
480,597,PASCHOU,Public
481,113,PASCHOU,Public
482,113,PASCHOU,Public
483,11,PASCHOU,Public
484,597,PASCHOU,Public
485,113,PASCHOU,Public
486,597,PASCHOU,Public
487,597,PASCHOU,Public
488,113,PASCHOU,Public
489,597,PASCHOU,Public
490,597,PASCHOU,Public
491,597,PASCHOU,Public
492,11,PASCHOU,Public
493,597,PASCHOU,Public
494,11,PASCHOU,Public
495,597,PASCHOU,Public
496,113,PASCHOU,Public
497,113,PASCHOU,Public
498,597,PASCHOU,Public
499,597,PASCHOU,Public
500,597,PASCHOU,Public
501,597,PASCHOU,Public
502,597,PASCHOU,Public
503,597,PASCHOU,Public
504,597,PASCHOU,Public
505,597,PASCHOU,Public
506,597,PASCHOU,Public
507,597,PASCHOU,Public
508,597,PASCHOU,Public
509,573,PASCHOU,Public
510,573,PASCHOU,Public
511,573,PASCHOU,Public
512,573,PASCHOU,Public
513,573,PASCHOU,Public
514,573,PASCHOU,Public
515,573,PASCHOU,Public
516,573,PASCHOU,Public
517,573,PASCHOU,Public
518,573,PASCHOU,Public
519,573,PASCHOU,Public
520,573,PASCHOU,Public
521,598,PASCHOU,Public
522,598,PASCHOU,Public
523,598,PASCHOU,Public
524,598,PASCHOU,Public
525,598,PASCHOU,Public
526,598,PASCHOU,Public
527,598,PASCHOU,Public
528,598,PASCHOU,Public
529,573,PASCHOU,Public
530,573,PASCHOU,Public
531,573,PASCHOU,Public
