SID,PID,Source,Permission
IN-SP-000276-1-01,742,HUGO,Private
IN-SP-000284-1-01,742,HUGO,Private
IN-SP-000304-1-01,742,HUGO,Private
IN-SP-000503-1-01,742,HUGO,Private
IN-SP-000505-1-01,742,HUGO,Private
IN-SP-000507-1-01,742,HUGO,Private
IN-SP-000511-1-01,742,HUGO,Private
IN-SP-000515-1-01,742,HUGO,Private
IN-SP-000519-1-01,742,HUGO,Private
IN-SP-000522-1-01,742,HUGO,Private
IN-SP-000523-1-01,742,HUGO,Private
IN-SP-000527-1-01,742,HUGO,Private
IN-SP-000528-1-01,742,HUGO,Private
IN-SP-000529-1-01,742,HUGO,Private
IN-SP-000532-1-01,742,HUGO,Private
IN-SP-000536-1-01,742,HUGO,Private
IN-SP-000538-1-01,742,HUGO,Private
IN-SP-000547-1-01,742,HUGO,Private
IN-SP-000548-1-01,742,HUGO,Private
IN-SP-000549-1-01,742,HUGO,Private
IN-SP-000551-1-01,742,HUGO,Private
IN-SP-003227-1-01,742,HUGO,Private
IN-TB-000871-1-01,743,HUGO,Private
IN-TB-000873-1-01,743,HUGO,Private
IN-TB-000874-1-01,743,HUGO,Private
IN-TB-000875-1-01,743,HUGO,Private
IN-TB-000876-1-01,743,HUGO,Private
IN-TB-000877-1-01,743,HUGO,Private
IN-TB-000878-1-01,743,HUGO,Private
IN-TB-000879-1-01,743,HUGO,Private
IN-TB-000880-1-01,743,HUGO,Private
IN-TB-000882-1-01,743,HUGO,Private
IN-TB-000883-1-01,743,HUGO,Private
IN-TB-000884-1-01,743,HUGO,Private
IN-TB-000885-1-01,743,HUGO,Private
IN-TB-000887-1-01,743,HUGO,Private
IN-TB-000888-1-01,743,HUGO,Private
IN-TB-000889-1-01,743,HUGO,Private
IN-TB-000890-1-01,743,HUGO,Private
IN-TB-000892-1-01,743,HUGO,Private
IN-TB-000893-1-01,743,HUGO,Private
IN-TB-000896-1-01,743,HUGO,Private
IN-TB-000897-2-01,743,HUGO,Private
IN-TB-000898-1-01,743,HUGO,Private
IN-TB-000901-1-01,743,HUGO,Private
IN-WI-002818-1-01,744,HUGO,Private
IN-WI-002819-1-01,744,HUGO,Private
IN-WI-002820-1-01,744,HUGO,Private
IN-WI-002821-1-01,744,HUGO,Private
IN-WI-002822-1-01,744,HUGO,Private
IN-WI-002823-1-01,744,HUGO,Private
IN-WI-002824-1-01,744,HUGO,Private
IN-WI-002825-1-01,744,HUGO,Private
IN-WI-002826-1-01,744,HUGO,Private
IN-WI-002827-1-01,744,HUGO,Private
IN-WI-002828-1-01,744,HUGO,Private
IN-WI-002829-1-01,744,HUGO,Private
IN-WI-002830-1-01,744,HUGO,Private
IN-WI-002832-1-01,744,HUGO,Private
IN-WI-002835-1-01,744,HUGO,Private
IN-WI-002836-1-01,744,HUGO,Private
IN-WI-002838-1-01,744,HUGO,Private
IN-WI-002839-1-01,744,HUGO,Private
IN-WI-002840-1-01,744,HUGO,Private
IN-WI-002888-1-01,744,HUGO,Private
